id,metacritic_score,metacritic_url,ign_score,ign_url,pcgamer_score,pcgamer_url,average
865540,-1,,-1.0,,-1.0,,-1
955620,-1,,-1.0,,-1.0,,-1
1137490,-1,,-1.0,,-1.0,,-1
926390,-1,,-1.0,,-1.0,,-1
859570,-1,,-1.0,,-1.0,,-1
1110350,-1,,-1.0,,-1.0,,-1
267360,-1,,-1.0,,-1.0,,-1
887800,-1,,-1.0,,-1.0,,-1
1169030,-1,,-1.0,,-1.0,,-1
763180,-1,,-1.0,,-1.0,,-1
241300,-1,,-1.0,,-1.0,,-1
1043370,-1,,-1.0,,-1.0,,-1
895620,-1,,-1.0,,-1.0,,-1
812040,-1,,-1.0,,-1.0,,-1
811320,-1,,-1.0,,-1.0,,-1
355630,-1,,-1.0,,-1.0,,-1
250460,-1,,-1.0,,-1.0,,-1
858700,-1,,-1.0,,-1.0,,-1
682990,-1,,-1.0,,-1.0,,-1
1171820,-1,,-1.0,,-1.0,,-1
758690,-1,,-1.0,,-1.0,,-1
738270,-1,,-1.0,,-1.0,,-1
981880,-1,,-1.0,,-1.0,,-1
16900,-1,,-1.0,,-1.0,,-1
567010,-1,,-1.0,,-1.0,,-1
967240,-1,,-1.0,,-1.0,,-1
958720,-1,,-1.0,,-1.0,,-1
950100,-1,,-1.0,,-1.0,,-1
916440,81.0,https://www.metacritic.com/game/pc/anno-1800?ftag=MCD-06-10aaa1f,8.1,https://www.ign.com/games/anno-1800,84.0,https://www.pcgamer.com/anno-1800-review/,81.75
893180,80.0,https://www.metacritic.com/game/pc/catherine-classic?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,80.0
691590,-1,,-1.0,,-1.0,,-1
1094530,-1,,-1.0,,-1.0,,-1
1035120,-1,,-1.0,,-1.0,,-1
1010910,-1,,-1.0,,-1.0,,-1
1187790,-1,,-1.0,,-1.0,,-1
1018860,-1,,-1.0,,-1.0,,-1
646910,-1,,7.0,https://www.ign.com/games/the-crew-2,55.0,https://www.pcgamer.com/the-crew-2-review/,65.0
722230,82.0,https://www.metacritic.com/game/pc/la-noire-the-vr-case-files?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,82.0
831050,-1,,-1.0,,-1.0,,-1
501220,-1,,-1.0,,-1.0,,-1
419700,-1,,-1.0,,-1.0,,-1
383840,-1,,-1.0,,-1.0,,-1
378360,-1,,-1.0,,-1.0,,-1
371970,-1,,-1.0,,-1.0,,-1
371650,-1,,-1.0,,-1.0,,-1
353380,-1,,-1.0,,-1.0,,-1
282900,72.0,https://www.metacritic.com/game/pc/hyperdimension-neptunia-rebirth1?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,72.0
1192870,-1,,-1.0,,-1.0,,-1
2400,76.0,https://www.metacritic.com/game/pc/the-ship?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,76.0
208650,-1,,9.2,https://www.ign.com/games/batman-arkham-knight,70.0,https://www.pcgamer.com/batman-arkham-knight-review/,84.66666666666667
200260,91.0,https://www.metacritic.com/game/pc/batman-arkham-city?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,91.0
792300,74.0,https://www.metacritic.com/game/pc/the-beast-inside?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,74.0
780820,-1,,-1.0,,-1.0,,-1
774241,69.0,https://www.metacritic.com/game/pc/warhammer-chaosbane?ftag=MCD-06-10aaa1f,8.7,https://www.ign.com/games/warhammer-chaosbane,58.0,https://www.pcgamer.com/warhammer-chaosbane-review/,75.25
774171,-1,,-1.0,,-1.0,,-1
737800,83.0,https://www.metacritic.com/game/pc/f1-2018?ftag=MCD-06-10aaa1f,8.5,https://www.ign.com/games/f1-2018,75.0,https://www.pcgamer.com/f1-2018-review/,82.0
734730,-1,,-1.0,,-1.0,,-1
723780,-1,,-1.0,,-1.0,,-1
710470,-1,,-1.0,,-1.0,,-1
704850,-1,,-1.0,,-1.0,,-1
684580,-1,,-1.0,,-1.0,,-1
653530,89.0,https://www.metacritic.com/game/pc/return-of-the-obra-dinn?ftag=MCD-06-10aaa1f,-1.0,,90.0,https://www.pcgamer.com/return-of-the-obra-dinn-review/,89.5
645630,-1,,-1.0,,-1.0,,-1
617160,-1,,4.0,https://www.ign.com/games/home-sweet-home,-1.0,,40.0
603850,-1,,-1.0,,-1.0,,-1
578850,-1,,-1.0,,-1.0,,-1
524220,84.0,https://www.metacritic.com/game/pc/nier-automata?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,84.0
513710,-1,,-1.0,,-1.0,,-1
508550,-1,,-1.0,,-1.0,,-1
460950,83.0,https://www.metacritic.com/game/pc/katana-zero?ftag=MCD-06-10aaa1f,8.7,https://www.ign.com/games/katana-zero,79.0,https://www.pcgamer.com/katana-zero-review/,84.0
460930,-1,,-1.0,,-1.0,,-1
1097560,-1,,-1.0,,-1.0,,-1
1112690,-1,,-1.0,,-1.0,,-1
1191070,-1,,-1.0,,-1.0,,-1
1180450,-1,,-1.0,,-1.0,,-1
1174490,-1,,-1.0,,-1.0,,-1
1162290,-1,,-1.0,,-1.0,,-1
1160910,-1,,-1.0,,-1.0,,-1
1156730,-1,,-1.0,,-1.0,,-1
1113680,-1,,-1.0,,-1.0,,-1
1097430,-1,,-1.0,,-1.0,,-1
1096090,-1,,-1.0,,-1.0,,-1
592480,79.0,https://www.metacritic.com/game/pc/knights-and-bikes?ftag=MCD-06-10aaa1f,-1.0,,78.0,https://www.pcgamer.com/knights-and-bikes-review/,78.5
267490,-1,,-1.0,,-1.0,,-1
244850,-1,,-1.0,,-1.0,,-1
233130,73.0,https://www.metacritic.com/game/pc/shadow-warrior?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,73.0
231430,80.0,https://www.metacritic.com/game/pc/company-of-heroes-2?ftag=MCD-06-10aaa1f,8.4,https://www.ign.com/games/company-of-heroes-2,80.0,https://www.pcgamer.com/company-of-heroes-2-review/,82.0
227580,67.0,https://www.metacritic.com/game/pc/10000000?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,67.0
214490,81.0,https://www.metacritic.com/game/pc/alien-isolation?ftag=MCD-06-10aaa1f,5.9,https://www.ign.com/games/alien-isolation,93.0,https://www.pcgamer.com/alien-isolation-review/,73.0
211820,81.0,https://www.metacritic.com/game/pc/starbound?ftag=MCD-06-10aaa1f,-1.0,,84.0,https://www.pcgamer.com/starbound-review/,82.5
209000,74.0,https://www.metacritic.com/game/pc/batman-arkham-origins?ftag=MCD-06-10aaa1f,7.8,https://www.ign.com/games/batman-arkham-origins,68.0,https://www.pcgamer.com/batman-arkham-origins-review/,74.5
545200,-1,,-1.0,,-1.0,,-1
904400,-1,,-1.0,,-1.0,,-1
497700,-1,,-1.0,,-1.0,,-1
451400,-1,,-1.0,,-1.0,,-1
336080,81.0,https://www.metacritic.com/game/pc/vietnam-65?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,81.0
433840,-1,,-1.0,,-1.0,,-1
397310,-1,,-1.0,,-1.0,,-1
320690,-1,,-1.0,,-1.0,,-1
914010,-1,,-1.0,,-1.0,,-1
809230,91.0,https://www.metacritic.com/game/pc/unity-of-command-ii?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,91.0
774091,-1,,-1.0,,-1.0,,-1
305500,-1,,-1.0,,-1.0,,-1
46540,50.0,https://www.metacritic.com/game/pc/trapped-dead?ftag=MCD-06-10aaa1f,4.0,https://www.ign.com/games/trapped-dead,-1.0,,43.333333333333336
1191580,-1,,-1.0,,-1.0,,-1
363940,-1,,-1.0,,-1.0,,-1
235340,65.0,https://www.metacritic.com/game/pc/prime-world?ftag=MCD-06-10aaa1f,5.9,https://www.ign.com/games/prime-world,-1.0,,61.0
1077530,-1,,-1.0,,-1.0,,-1
925010,-1,,-1.0,,-1.0,,-1
600740,-1,,-1.0,,-1.0,,-1
1147550,-1,,-1.0,,-1.0,,-1
1092430,-1,,-1.0,,-1.0,,-1
251430,72.0,https://www.metacritic.com/game/pc/the-inner-world?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,72.0
726630,-1,,-1.0,,-1.0,,-1
559650,-1,,-1.0,,-1.0,,-1
46450,65.0,https://www.metacritic.com/game/pc/grotesque-tactics-evil-heroes?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,65.0
785050,-1,,-1.0,,-1.0,,-1
540060,-1,,-1.0,,-1.0,,-1
965120,-1,,-1.0,,-1.0,,-1
468920,70.0,https://www.metacritic.com/game/pc/ultimate-fishing-simulator?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,70.0
366090,-1,,-1.0,,-1.0,,-1
1024010,-1,,-1.0,,-1.0,,-1
423620,-1,,-1.0,,-1.0,,-1
670260,-1,,-1.0,,-1.0,,-1
1047430,-1,,-1.0,,-1.0,,-1
1004490,-1,,-1.0,,-1.0,,-1
718550,-1,,-1.0,,-1.0,,-1
466560,80.0,https://www.metacritic.com/game/pc/northgard?ftag=MCD-06-10aaa1f,-1.0,,84.0,https://www.pcgamer.com/northgard-review/,82.0
840210,-1,,-1.0,,-1.0,,-1
363950,-1,,-1.0,,-1.0,,-1
838900,-1,,-1.0,,-1.0,,-1
266470,-1,,-1.0,,-1.0,,-1
704510,-1,,-1.0,,-1.0,,-1
1050560,-1,,-1.0,,-1.0,,-1
1047220,-1,,-1.0,,-1.0,,-1
849090,-1,,-1.0,,-1.0,,-1
865360,-1,,-1.0,,-1.0,,-1
318560,-1,,-1.0,,-1.0,,-1
912550,-1,,-1.0,,-1.0,,-1
370970,-1,,-1.0,,-1.0,,-1
1175620,-1,,-1.0,,-1.0,,-1
939510,-1,,-1.0,,-1.0,,-1
840290,-1,,-1.0,,-1.0,,-1
1064070,-1,,-1.0,,-1.0,,-1
628320,-1,,-1.0,,-1.0,,-1
821250,-1,,-1.0,,-1.0,,-1
1071290,-1,,-1.0,,-1.0,,-1
597820,-1,,-1.0,,-1.0,,-1
794860,-1,,-1.0,,-1.0,,-1
1032790,-1,,-1.0,,-1.0,,-1
1058710,-1,,-1.0,,-1.0,,-1
1172170,-1,,-1.0,,-1.0,,-1
552520,-1,,8.9,https://www.ign.com/games/far-cry-5,80.0,https://www.pcgamer.com/far-cry-5-review/,86.0
1098640,-1,,-1.0,,-1.0,,-1
1028030,-1,,-1.0,,-1.0,,-1
239200,72.0,https://www.metacritic.com/game/pc/amnesia-a-machine-for-pigs?ftag=MCD-06-10aaa1f,8.3,https://www.ign.com/games/amnesia-a-machine-for-pigs,89.0,https://www.pcgamer.com/amnesia-a-machine-for-pigs-review/,81.75
343440,-1,,-1.0,,-1.0,,-1
57300,85.0,https://www.metacritic.com/game/pc/amnesia-the-dark-descent?ftag=MCD-06-10aaa1f,8.5,https://www.ign.com/games/amnesia-the-dark-descent,88.0,https://www.pcgamer.com/amnesia-the-dark-descent-review/,85.75
281990,78.0,https://www.metacritic.com/game/pc/stellaris?ftag=MCD-06-10aaa1f,6.3,https://www.ign.com/games/stellaris,70.0,https://www.pcgamer.com/stellaris-review/,68.5
717930,-1,,-1.0,,-1.0,,-1
282140,84.0,https://www.metacritic.com/game/pc/soma?ftag=MCD-06-10aaa1f,8.1,https://www.ign.com/games/soma,80.0,https://www.pcgamer.com/soma-review/,81.5
1147980,-1,,-1.0,,-1.0,,-1
613100,68.0,https://www.metacritic.com/game/pc/house-flipper?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,68.0
703820,-1,,-1.0,,-1.0,,-1
480500,-1,,-1.0,,-1.0,,-1
903910,-1,,-1.0,,-1.0,,-1
436150,-1,,-1.0,,-1.0,,-1
869060,-1,,-1.0,,-1.0,,-1
395930,-1,,-1.0,,-1.0,,-1
727850,-1,,-1.0,,-1.0,,-1
1186200,-1,,-1.0,,-1.0,,-1
410340,-1,,-1.0,,-1.0,,-1
661260,-1,,-1.0,,-1.0,,-1
361930,-1,,-1.0,,-1.0,,-1
978290,-1,,-1.0,,-1.0,,-1
995140,-1,,-1.0,,-1.0,,-1
720560,-1,,-1.0,,-1.0,,-1
391000,-1,,-1.0,,-1.0,,-1
1069650,-1,,-1.0,,-1.0,,-1
296220,-1,,-1.0,,-1.0,,-1
812590,-1,,-1.0,,-1.0,,-1
400750,-1,,-1.0,,-1.0,,-1
397900,-1,,-1.0,,-1.0,,-1
954280,-1,,-1.0,,-1.0,,-1
948740,-1,,-1.0,,-1.0,,-1
940910,-1,,-1.0,,-1.0,,-1
886040,-1,,-1.0,,-1.0,,-1
867290,58.0,https://www.metacritic.com/game/pc/crossroads-inn?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,58.0
797410,-1,,-1.0,,-1.0,,-1
690040,-1,,-1.0,,-1.0,,-1
657240,-1,,-1.0,,-1.0,,-1
646570,89.0,https://www.metacritic.com/game/pc/slay-the-spire?ftag=MCD-06-10aaa1f,9.0,https://www.ign.com/games/slay-the-spire,92.0,https://www.pcgamer.com/slay-the-spire-review/,90.25
638000,77.0,https://www.metacritic.com/game/pc/when-ski-lifts-go-wrong?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,77.0
636480,-1,,-1.0,,-1.0,,-1
630900,-1,,-1.0,,-1.0,,-1
1089860,-1,,-1.0,,-1.0,,-1
1072340,-1,,-1.0,,-1.0,,-1
301650,75.0,https://www.metacritic.com/game/pc/battlezone-98-redux?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,75.0
292230,-1,,-1.0,,-1.0,,-1
25830,77.0,https://www.metacritic.com/game/pc/knights-of-honor?ftag=MCD-06-10aaa1f,7.7,https://www.ign.com/games/knights-of-honor,-1.0,,77.0
236870,-1,,-1.0,,-1.0,,-1
230230,87.0,https://www.metacritic.com/game/pc/divinity-original-sin?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,87.0
211420,85.0,https://www.metacritic.com/game/pc/dark-souls-prepare-to-die-edition?ftag=MCD-06-10aaa1f,9.0,https://www.ign.com/games/dark-souls-prepare-to-die-edition,-1.0,,88.33333333333333
204360,-1,,9.0,https://www.ign.com/games/castle-crashers,-1.0,,90.0
611790,-1,,-1.0,,-1.0,,-1
568220,-1,,-1.0,,-1.0,,-1
548570,73.0,https://www.metacritic.com/game/pc/rage-2?ftag=MCD-06-10aaa1f,8.0,https://www.ign.com/games/rage-2,70.0,https://www.pcgamer.com/rage-2-review/,75.75
534380,-1,,-1.0,,-1.0,,-1
509980,-1,,-1.0,,-1.0,,-1
501300,89.0,https://www.metacritic.com/game/pc/what-remains-of-edith-finch?ftag=MCD-06-10aaa1f,8.8,https://www.ign.com/games/what-remains-of-edith-finch,91.0,https://www.pcgamer.com/what-remains-of-edith-finch-review/,89.0
406290,-1,,-1.0,,-1.0,,-1
404620,-1,,-1.0,,-1.0,,-1
379720,85.0,https://www.metacritic.com/game/pc/doom?ftag=MCD-06-10aaa1f,7.0,https://www.ign.com/games/doom,88.0,https://www.pcgamer.com/doom-review/,78.25
970830,-1,,-1.0,,-1.0,,-1
1196880,-1,,-1.0,,-1.0,,-1
1196750,-1,,-1.0,,-1.0,,-1
1193120,-1,,-1.0,,-1.0,,-1
1193040,-1,,-1.0,,-1.0,,-1
1187740,-1,,-1.0,,-1.0,,-1
1186340,-1,,-1.0,,-1.0,,-1
1167630,-1,,-1.0,,-1.0,,-1
1165430,-1,,-1.0,,-1.0,,-1
1159500,-1,,-1.0,,-1.0,,-1
458710,-1,,-1.0,,-1.0,,-1
997180,-1,,-1.0,,-1.0,,-1
987900,-1,,-1.0,,-1.0,,-1
1156420,-1,,-1.0,,-1.0,,-1
1156080,-1,,-1.0,,-1.0,,-1
1151960,-1,,-1.0,,-1.0,,-1
1136160,-1,,-1.0,,-1.0,,-1
1128280,-1,,-1.0,,-1.0,,-1
1100300,-1,,-1.0,,-1.0,,-1
1098080,-1,,-1.0,,-1.0,,-1
1044040,-1,,-1.0,,-1.0,,-1
1043880,-1,,-1.0,,-1.0,,-1
1015140,-1,,-1.0,,-1.0,,-1
1012610,-1,,-1.0,,-1.0,,-1
715400,-1,,-1.0,,-1.0,,-1
756530,-1,,-1.0,,-1.0,,-1
236850,87.0,https://www.metacritic.com/game/pc/europa-universalis-iv?ftag=MCD-06-10aaa1f,8.9,https://www.ign.com/games/europa-universalis-iv,91.0,https://www.pcgamer.com/europa-universalis-iv-review/,89.0
1190980,-1,,-1.0,,-1.0,,-1
694130,-1,,-1.0,,-1.0,,-1
436180,-1,,-1.0,,-1.0,,-1
465100,-1,,-1.0,,-1.0,,-1
926580,-1,,-1.0,,-1.0,,-1
520670,63.0,https://www.metacritic.com/game/pc/strikers-edge?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,63.0
876460,-1,,-1.0,,-1.0,,-1
270880,76.0,https://www.metacritic.com/game/pc/american-truck-simulator?ftag=MCD-06-10aaa1f,-1.0,,80.0,https://www.pcgamer.com/american-truck-simulator-review/,78.0
1179220,-1,,-1.0,,-1.0,,-1
323190,84.0,https://www.metacritic.com/game/pc/frostpunk?ftag=MCD-06-10aaa1f,9.0,https://www.ign.com/games/frostpunk,89.0,https://www.pcgamer.com/frostpunk-review/,88.25
1194250,-1,,-1.0,,-1.0,,-1
960900,-1,,-1.0,,-1.0,,-1
994730,-1,,-1.0,,-1.0,,-1
993890,-1,,-1.0,,-1.0,,-1
831980,-1,,-1.0,,-1.0,,-1
965200,-1,,-1.0,,-1.0,,-1
1186260,-1,,-1.0,,-1.0,,-1
445220,-1,,-1.0,,-1.0,,-1
620980,93.0,https://www.metacritic.com/game/pc/beat-saber?ftag=MCD-06-10aaa1f,9.5,https://www.ign.com/games/beat-saber,-1.0,,94.33333333333333
712100,-1,,7.7,https://www.ign.com/games/total-war-saga-thrones-of-britannia,73.0,https://www.pcgamer.com/total-war-saga-thrones-of-britannia-review/,75.66666666666667
364360,86.0,https://www.metacritic.com/game/pc/total-war-warhammer?ftag=MCD-06-10aaa1f,8.6,https://www.ign.com/games/total-war-warhammer,86.0,https://www.pcgamer.com/total-war-warhammer-review/,86.0
345260,-1,,-1.0,,-1.0,,-1
345240,-1,,-1.0,,-1.0,,-1
325610,80.0,https://www.metacritic.com/game/pc/total-war-attila?ftag=MCD-06-10aaa1f,8.1,https://www.ign.com/games/total-war-attila,83.0,https://www.pcgamer.com/total-war-attila-review/,81.25
300080,-1,,-1.0,,-1.0,,-1
214950,76.0,https://www.metacritic.com/game/pc/total-war-rome-ii?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,76.0
1112930,-1,,-1.0,,-1.0,,-1
914800,-1,,-1.0,,-1.0,,-1
933830,-1,,-1.0,,-1.0,,-1
454350,-1,,-1.0,,-1.0,,-1
674020,-1,,-1.0,,-1.0,,-1
389670,58.0,https://www.metacritic.com/game/pc/pacer?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,58.0
732240,-1,,-1.0,,-1.0,,-1
1060220,-1,,-1.0,,-1.0,,-1
1150620,-1,,-1.0,,-1.0,,-1
1061100,-1,,-1.0,,-1.0,,-1
252530,-1,,-1.0,,-1.0,,-1
282070,83.0,https://www.metacritic.com/game/pc/this-war-of-mine?ftag=MCD-06-10aaa1f,8.4,https://www.ign.com/games/this-war-of-mine,80.0,https://www.pcgamer.com/this-war-of-mine-review/,82.75
811880,-1,,-1.0,,-1.0,,-1
582500,-1,,-1.0,,-1.0,,-1
1170840,-1,,-1.0,,-1.0,,-1
504390,-1,,-1.0,,-1.0,,-1
999390,-1,,-1.0,,-1.0,,-1
550470,-1,,-1.0,,-1.0,,-1
1035320,-1,,-1.0,,-1.0,,-1
1193780,-1,,-1.0,,-1.0,,-1
808290,71.0,https://www.metacritic.com/game/pc/runes-of-magic?ftag=MCD-06-10aaa1f,7.9,https://www.ign.com/games/runes-of-magic,48.0,https://www.pcgamer.com/runes-of-magic-review/,69.25
911220,-1,,-1.0,,-1.0,,-1
1132730,-1,,-1.0,,-1.0,,-1
1113770,-1,,-1.0,,-1.0,,-1
1062340,-1,,-1.0,,-1.0,,-1
905640,-1,,-1.0,,-1.0,,-1
829420,-1,,-1.0,,-1.0,,-1
719730,-1,,-1.0,,-1.0,,-1
608120,-1,,-1.0,,-1.0,,-1
1020120,-1,,-1.0,,-1.0,,-1
236390,81.0,https://www.metacritic.com/game/pc/war-thunder?ftag=MCD-06-10aaa1f,-1.0,,78.0,https://www.pcgamer.com/war-thunder-review/,79.5
407600,-1,,-1.0,,-1.0,,-1
1028280,-1,,-1.0,,-1.0,,-1
575550,-1,,-1.0,,-1.0,,-1
679830,-1,,-1.0,,-1.0,,-1
1171220,-1,,-1.0,,-1.0,,-1
1179040,-1,,-1.0,,-1.0,,-1
708200,-1,,-1.0,,-1.0,,-1
1181440,-1,,-1.0,,-1.0,,-1
